"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","21","2023","0","1","0.000000","0","0"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","21","148","148","6","440.407776","0","148"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","21","148","148","6","255.170044","0","148"
"/Game/VRTemplate/Materials/M_GridRotation.M_GridRotation","21","48","48","2","92.830231","0","48"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","21","52","44","6","16.675009","0","44"
"/InterchangeAssets/gltf/M_Default.M_Default","21","148","88","6","127.083771","0","88"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","21","60","0","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","21","36","0","1","0.000000","0","0"
"/Game/Characters/MannequinsXR/Materials/M_Mannequin.M_Mannequin","21","48","48","2","73.676445","0","48"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","21","24","24","1","37.501080","0","24"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","26","26","6","10.388732","0","26"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","21","148","148","6","230.225174","0","148"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","21","40","40","2","116.801071","0","40"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","21","2","2","1","1.037140","0","2"
"/Game/VRTemplate/Materials/M_TeleportNoise.M_TeleportNoise","21","6","6","1","5.696253","0","6"
"/Game/VRTemplate/Materials/M_TeleportCylinder.M_TeleportCylinder","21","6","6","1","7.056437","0","6"
"/OpenXR/Devices/M_XRController.M_XRController","21","36","36","3","63.036873","0","36"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","21","2","2","1","1.488657","0","2"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","21","4","4","1","2.677777","0","4"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","21","4","4","2","2.256258","0","4"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","24","24","2","16.152224","0","24"
"/Game/Weapons/Rifle/Materials/M_Weapon.M_Weapon","21","24","24","1","44.803230","0","24"
"/Engine/EditorMaterials/MatineeCam_mat.MatineeCam_mat","21","12","12","1","19.095667","0","12"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","21","2","2","1","1.357019","0","2"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","21","7","7","1","2.363956","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","21","2","2","1","0.438383","0","2"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","21","2","2","1","0.391870","0","2"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","21","18","18","1","23.046986","0","18"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","132","132","1","262.610199","0","132"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","21","4","4","1","1.798486","0","4"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","2","2","1","0.992418","0","2"
"","21","512","0","1","0.000000","513","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","21","478","478","1","486.792175","0","478"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","21","32","32","1","15.940715","0","32"
